sale_price,magic_critical,magic_def,promotion_level,equipment_category,equipment_id,hp_recovery_rate,wave_energy_recovery,display_item,atk,magic_penetrate,enable_donation,wave_hp_recovery,accuracy,require_level,equipment_enhance_point,equipment_name,original_equipment_id,physical_penetrate,craft_flg,life_steal,physical_critical,dodge,description,def,magic_str,energy_reduce_rate,energy_recovery_rate,equipment_type,hp,item_type
60,0.0,0.0,1,1,101011,0.0,0.0,0,6.0,0.0,1,0.0,0.0,1,1,铁剑,101011,0.0,0,0.0,0.0,0.0,随处可见的廉价剑。\n对大部分学剑之人来说\n是重要的入门武器。,0.0,0.0,0.0,0.0,0,15.0,0
60,0.0,0.0,1,7,101071,0.0,0.0,0,6.0,0.0,1,25.0,0.0,1,1,尖锐铅笔,101071,0.0,0,0.0,0.0,0.0,笔状的短剑。\n攻击力低，\n但便于携带。,0.0,0.0,0.0,0.0,0,0.0,0
60,0.0,0.0,1,10,101101,0.0,5.0,0,4.0,0.0,1,0.0,0.0,1,1,木制拳套,101101,0.0,0,0.0,0.0,0.0,用于强化拳头的木制武器。\n虽然做工简单，\n但比起赤手空拳，\n更能减轻对拳头的负担。,0.0,0.0,0.0,0.0,0,0.0,0
60,0.0,1.0,1,13,101131,0.0,0.0,0,3.0,0.0,1,0.0,0.0,1,1,猎人弓,101131,0.0,0,0.0,0.0,0.0,标准的木制弓。\n是猎人爱用的武器，\n狩猎动物时，\n无论是射程还是威力都十分出众。,0.0,0.0,0.0,0.0,0,0.0,0
60,0.0,0.0,1,16,101161,0.0,0.0,0,4.0,0.0,1,0.0,0.0,1,1,钢矛,101161,0.0,0,0.0,0.0,0.0,士兵常用的矛。\n因握柄长、易上手，\n经常用于战斗。,1.0,0.0,0.0,0.0,0,0.0,0
60,0.0,0.0,1,19,101191,0.0,0.0,0,8.0,0.0,1,0.0,0.0,1,1,单手斧,101191,0.0,0,0.0,0.0,0.0,小型的单手斧。\n本用于投掷，\n因其易上手的特性，\n也被作为近身战武器使用。,0.0,0.0,0.0,0.0,0,0.0,0
60,0.0,0.0,1,25,101251,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,1,香木法杖,101251,0.0,0,0.0,0.0,0.0,从神秘森林中\n生长的阿斯特莱亚希之树上\n刨取香木制成的法杖。\n其香气可平复伤者的情绪。,0.0,8.0,0.0,0.0,0,0.0,0
60,0.0,0.0,1,28,101281,0.0,0.0,0,2.0,0.0,1,0.0,0.0,2,2,皮革工作服,101281,0.0,0,0.0,0.0,0.0,原本是工匠的围裙。\n特点是其巨大的口袋。\n因新手冒险者经常携带许多物品\n所以大口袋显得十分重要。,0.0,0.0,0.0,0.0,0,50.0,0
60,0.0,0.0,1,37,101371,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,2,旅行长袍,101371,0.0,0,0.0,0.0,0.0,冒险者入门时选择的衣服。\n长袍中包含着对\n踏出第一步的祝福\n因而变得十分畅销。,0.0,1.0,0.0,0.0,0,55.0,0
60,0.0,0.0,1,40,101401,0.0,0.0,0,2.0,0.0,1,0.0,0.0,2,2,木盾,101401,0.0,0,0.0,0.0,0.0,利用阿斯特莱安希达针叶树\n做成的盾。\n因其加工简单、价格低廉的特性\n常用于学生的模拟战。,1.0,0.0,0.0,0.0,0,15.0,0
