gacha_type,gacha10_special_odds_star1,ticket_id,unknown_2,rarity_odds,description_2,movie_id,exchange_id,gacha10_special_odds_star3,parallel_id,gacha_odds_star2,gacha10_special_odds_star2,pickup_badge,price,chara_odds_star3,chara_odds_star1,free_gacha_type,ticket_id_10,special_id,gacha_name,gacha_times_limit10,unknown_4,gacha_odds,description,unknown_1,unknown_3,chara_odds_star2,free_gacha_interval_time,free_gacha_count,pick_up_chara_text,gacha_bonus_id,description_sp,gacha_id,prizegacha_id,end_time,gacha_cost_type,gacha_detail,discount_price,start_time,pickup_id
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10001,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10001,0,2020/04/23 12:59:59,3,1,0,2020/01/01 0:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10002,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10002,0,2020/05/07 12:59:59,3,1,0,2020/04/23 13:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10003,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10003,0,2020/05/15 10:59:59,3,1,0,2020/05/07 13:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10004,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10004,0,2020/05/28 10:59:59,3,1,0,2020/05/15 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10005,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10005,0,2020/06/08 10:59:59,3,1,0,2020/05/28 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10006,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10006,0,2020/06/23 10:59:59,3,1,0,2020/06/08 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10007,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10007,0,2020/07/06 10:59:59,3,1,0,2020/06/23 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10008,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10008,0,2020/07/20 10:59:59,3,1,0,2020/07/06 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10009,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10009,0,2020/08/03 10:59:59,3,1,0,2020/07/20 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10010,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10010,0,2020/08/18 10:59:59,3,1,0,2020/08/03 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10011,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10011,0,2020/08/30 10:59:59,3,1,0,2020/08/18 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10012,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10012,0,2020/09/15 10:59:59,3,1,0,2020/08/30 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10013,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10013,0,2020/09/28 08:59:59,3,1,0,2020/09/15 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10014,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10014,0,2020/10/09 10:59:59,3,1,0,2020/09/28 09:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10015,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10015,0,2020/10/16 10:59:59,3,1,0,2020/10/09 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10016,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10016,0,2020/11/10 10:59:59,3,1,0,2020/10/26 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10017,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10017,0,2020/11/23 10:59:59,3,1,0,2020/11/10 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10018,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10018,0,2020/11/30 10:59:59,3,1,0,2020/11/23 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10019,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10019,0,2020/12/10 08:59:59,3,1,0,2020/11/30 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10020,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10020,0,2020/12/20 10:59:59,3,1,0,2020/12/10 09:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10021,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10021,0,2020/12/30 10:59:59,3,1,0,2020/12/20 11:00:00,0
0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,普通扭蛋,0,,10022,获取道具或者记忆碎片！,0,0,0,0,10,,0,,10022,0,2021/01/18 08:59:59,3,1,0,2021/01/08 11:00:00,0
