close_time,series_event_id,end_time,backgroud_pos_y,event_id,backgroud_size_y,backgroud_size_x,count_start_time,teaser_dialog_type,original_event_id,que_id,backgroud_pos_x,banner_unit_id,sheet_id,teaser_time,background,start_time
2020/05/28 10:59:59,0,2020/05/26 18:59:59,50,10001,1060,1768,2020/05/23 19:00:00,0,0,bgm_M32,60,101201,bgm_M32,2020/05/11 13:00:00,500213,2020/05/15 11:00:00
2020/07/02 14:59:59,0,2020/06/27 23:59:59,50,10002,1060,1768,2020/06/24 19:00:00,0,0,bgm_M98,60,103601,bgm_M98,2020/06/03 15:00:00,500193,2020/06/08 11:00:00
2020/07/30 14:59:59,0,2020/07/25 23:59:59,50,10003,1060,1768,2020/07/22 19:00:00,0,0,bgm_M106,60,104401,bgm_M106,2020/07/02 15:00:00,500263,2020/07/06 11:00:00
2020/08/27 14:59:59,0,2020/08/22 23:59:59,50,10004,1060,1768,2020/08/19 19:00:00,0,0,bgm_M112,60,107601,bgm_M112,2020/07/30 15:00:00,500164,2020/08/03 11:00:00
2020/09/24 14:59:59,0,2020/09/19 23:59:59,50,10005,1060,1768,2020/09/16 19:00:00,0,0,bgm_M121,60,907901,bgm_M121,2020/08/27 15:00:00,500284,2020/08/30 11:00:00
2020/10/22 14:59:59,0,2020/10/17 23:59:59,50,10006,1060,1768,2020/10/14 19:00:00,0,0,bgm_M128,60,104701,bgm_M128,2020/09/24 15:00:00,500096,2020/09/28 9:00:00
2020/11/19 14:59:59,0,2020/11/14 23:59:59,50,10007,1060,1768,2020/11/11 19:00:00,0,0,bgm_M135,60,108201,bgm_M135,2020/10/22 15:00:00,500264,2020/10/26 11:00:00
2020/12/17 14:59:59,0,2020/12/07 23:59:59,50,10008,1060,1768,2020/12/04 19:00:00,0,0,bgm_M162,60,100901,bgm_M162,2020/11/19 15:00:00,500143,2020/11/23 11:00:00
2021/01/14 14:59:59,0,2021/01/03 23:59:59,50,10009,1060,1768,2020/12/31 19:00:00,0,0,bgm_M171,60,108501,bgm_M171,2020/12/17 15:00:00,500114,2020/12/20 11:00:00
2021/02/11 14:59:59,0,2021/02/01 23:59:59,50,10010,1060,1768,2021/01/29 19:00:00,0,0,bgm_M182,60,108901,bgm_M182,2021/01/14 15:00:00,500553,2021/01/18 9:00:00
2021/03/11 14:59:59,0,2021/02/28 23:59:59,50,10011,1060,1768,2021/02/25 19:00:00,0,0,bgm_M189,60,109001,bgm_M189,2021/02/11 15:00:00,500600,2021/02/14 11:00:00
2021/04/08 23:59:59,0,2021/03/29 23:59:59,50,10012,1060,1768,2021/03/26 19:00:00,0,0,bgm_M206,60,101401,bgm_M206,2021/03/11 15:00:00,500013,2021/03/15 11:00:00
2021/05/31 14:59:59,0,2021/05/27 23:59:59,50,10013,1060,1768,2021/05/24 19:00:00,0,0,bgm_M215,60,109301,bgm_M215,2021/05/13 15:00:00,500133,2021/05/15 9:00:00
2021/05/14 14:59:59,0,2021/05/11 23:59:59,50,10014,1060,1768,2021/05/08 19:00:00,0,10001,bgm_M32,60,101201,bgm_M32,2021/05/01 11:00:00,500213,2021/05/04 11:00:00
2021/07/01 14:59:59,0,2021/06/26 23:59:59,50,10015,1060,1768,2021/06/23 19:00:00,0,0,bgm_M223,60,109501,bgm_M223,2021/06/07 15:00:00,500650,2021/06/14 11:00:00
2021/06/07 14:59:59,0,2021/06/04 23:59:59,50,10016,1060,1768,2021/06/01 19:00:00,0,10002,bgm_M98,60,103601,bgm_M98,2021/05/25 15:00:00,500193,2021/05/28 9:00:00
2021/05/04 10:59:59,0,2021/05/01 23:59:59,50,10017,1060,1768,2021/04/28 19:00:00,0,0,bgm_M228,60,109701,bgm_M228,2021/04/14 15:00:00,500175,2021/04/17 9:00:00
2021/07/08 14:59:59,0,2021/07/05 23:59:59,50,10018,1060,1768,2021/07/02 19:00:00,0,10003,bgm_M106,60,104401,bgm_M106,2021/06/24 15:00:00,500263,2021/06/28 9:00:00
2021/07/30 14:59:59,0,2021/07/26 23:59:59,50,10019,1060,1600,2021/07/23 19:00:00,0,0,bgm_M237,12,110101,bgm_M237,2021/07/09 15:00:00,500683,2021/07/12 11:00:00
2021/08/06 14:59:59,0,2021/08/03 23:59:59,50,10020,1060,1768,2021/07/31 19:00:00,0,10004,bgm_M112,60,107601,bgm_M112,2021/07/23 15:00:00,500164,2021/07/27 11:00:00
2021/08/26 14:59:59,0,2021/08/22 23:59:59,50,10021,1060,1768,2021/08/19  19:00:00,0,0,bgm_M245_02,60,110501,bgm_M245,2021/08/06 15:00:00,500713,2021/08/09 11:00:00
2021/09/02 14:59:59,0,2021/08/30 23:59:59,50,10022,1060,1768,2021/08/27 19:00:00,0,10005,bgm_M121,60,108001,bgm_M121,2021/08/19 15:00:00,500284,2021/08/23 11:00:00
2021/09/24 14:59:59,0,2021/09/20 23:59:59,50,10023,1060,1800,2021/09/17 19:00:00,0,0,bgm_M254,34,110701,bgm_M254,2021/09/01 15:00:00,500731,2021/09/06 9:00:00
2021/10/01 14:59:59,0,2021/09/28 23:59:59,50,10024,1060,1768,2021/09/25 19:00:00,0,10006,bgm_M128,60,104701,bgm_M128,2021/09/17 15:00:00,500096,2021/09/21 11:00:00
2021/10/22 14:59:59,0,2021/10/18 23:59:59,50,10025,1060,1768,2021/10/15 19:00:00,0,0,bgm_M265_Top,60,111201,bgm_M265,2021/09/30 15:00:00,505033,2021/10/04 11:00:00
2021/10/29 14:59:59,0,2021/10/26 23:59:59,50,10026,1060,1768,2021/10/23 19:00:00,0,10007,bgm_M135,60,108201,bgm_M135,2021/10/15 15:00:00,500264,2021/10/19 11:00:00
2021/11/19 14:59:59,0,2021/11/15 23:59:59,50,10027,1060,1800,2021/11/12 19:00:00,0,0,bgm_M273,60,100501,bgm_M273,2021/10/28 15:00:00,500836,2021/11/01 11:00:00
2021/11/26 14:59:59,0,2021/11/23 23:59:59,50,10028,1060,1768,2021/11/20 19:00:00,0,10008,bgm_M162,60,100901,bgm_M162,2021/11/12 15:00:00,500143,2021/11/16 11:00:00
2021/12/18 14:59:59,0,2021/12/14 23:59:59,50,10029,1060,1768,2021/12/11 19:00:00,0,0,bgm_M281,60,111601,bgm_M281,2021/11/25 15:00:00,500880,2021/11/30 11:00:00
2021/12/26 14:59:59,0,2021/12/23 23:59:59,50,10030,1060,1768,2021/12/20 19:00:00,0,10009,bgm_M171,60,108501,bgm_M171,2021/12/09 15:00:00,500114,2021/12/16 11:00:00
2022/01/17 14:59:59,0,2022/01/14 23:59:59,50,10031,1060,1768,2022/01/11 19:00:00,0,0,bgm_M294,60,112101,bgm_M294,2021/12/26 15:00:00,500911,2021/12/31 11:00:00
2022/01/24 14:59:59,0,2022/01/21 23:59:59,50,10032,1060,1768,2022/01/18 19:00:00,0,10010,bgm_M182,60,108901,bgm_M182,2022/01/07 15:00:00,500553,2022/01/14 11:00:00
2022/02/15 14:59:59,0,2022/02/10 23:59:59,50,10033,1060,1768,2022/02/07 19:00:00,0,0,bgm_M316,60,112301,bgm_M316,2022/01/24 15:00:00,500016,2022/01/28 9:00:00
2022/02/24 14:59:59,0,2022/02/21 23:59:59,50,10034,1060,1768,2022/02/18 19:00:00,0,10011,bgm_M189,60,109001,bgm_M189,2022/02/10 15:00:00,500600,2022/02/14 11:00:00
2022/03/26 14:59:59,0,2022/03/21 23:59:59,50,10035,1060,1768,2022/03/18 19:00:00,0,0,bgm_M330,60,112401,bgm_M330,2022/02/25 15:00:00,500175,2022/02/28 9:00:00
2022/03/26 14:59:59,10035,2022/03/21 23:59:59,50,10036,1060,1768,2022/03/18 19:00:00,0,0,bgm_M341,60,112401,bgm_M341,2022/02/25 15:00:00,500921,2022/03/12 15:00:00
2022/03/26 14:59:59,0,2022/03/23 23:59:59,50,10037,1060,1768,2022/03/20 19:00:00,0,10012,bgm_M206,60,101401,bgm_M206,2022/03/13 11:00:00,500013,2022/03/16 11:00:00
2022/04/18 14:59:59,0,2022/04/14 23:59:59,50,10038,1060,1768,2022/04/11 19:00:00,0,0,bgm_M343,60,111001,bgm_M343,2022/03/26 15:00:00,500751,2022/03/31 11:00:00
2022/04/25 14:59:59,0,2022/04/22 23:59:59,50,10039,1060,1768,2022/04/19 19:00:00,0,10013,bgm_M215,60,109301,bgm_M215,2022/04/08 15:00:00,500133,2022/04/15 11:00:00
2022/05/19 14:59:59,0,2022/05/14 23:59:59,50,10040,1060,1768,2022/05/11 19:00:00,0,0,bgm_M351,60,103301,bgm_M351,2022/04/24 15:00:00,500990,2022/04/30 11:00:00
2022/05/28 14:59:59,0,2022/05/25 23:59:59,50,10041,1060,1768,2022/05/22 19:00:00,0,10015,bgm_M223,60,109501,bgm_M223,2022/05/10 15:00:00,500650,2022/05/18 11:00:00
2022/06/19 14:59:59,0,2022/06/14 23:59:59,50,10042,1060,1768,2022/06/11 19:00:00,0,0,bgm_M375,60,113001,bgm_M375,2022/05/26 15:00:00,500016,2022/05/31 11:00:00
2022/06/26 14:59:59,0,2022/06/23 23:59:59,50,10043,1060,1600,2022/06/20 19:00:00,0,10019,bgm_M237,12,110101,bgm_M237,2022/06/09 15:00:00,500683,2022/06/16 12:00:00
2022/07/19 14:59:59,0,2022/07/14 23:59:59,50,10044,1060,1768,2022/07/11 19:00:00,0,0,bgm_M380A,60,113201,bgm_M380A,2022/06/24 15:00:00,500016,2022/06/30 11:00:00
2022/07/26 14:59:59,0,2022/07/23 23:59:59,50,10045,1060,1768,2022/07/20 19:00:00,0,10021,bgm_M245_02,60,110501,bgm_M245,2022/07/11 15:00:00,500713,2022/07/16 12:00:00
2022/08/19 14:59:59,0,2022/08/14 23:59:59,50,10046,1060,1768,2022/08/11 19:00:00,0,0,bgm_M393,60,113501,bgm_M393,2022/07/26 15:00:00,501091,2022/07/31 11:00:00
2022/08/26 14:59:59,0,2022/08/23 23:59:59,50,10047,1060,1800,2022/08/20 19:00:00,0,10023,bgm_M254,34,110701,bgm_M254,2022/08/12 15:00:00,500731,2022/08/16 12:00:00
2022/09/19 14:59:59,0,2022/09/14 23:59:59,50,10048,1060,1768,2022/09/11 19:00:00,0,0,bgm_M403,60,113801,bgm_M403,2022/08/25 15:00:00,500016,2022/08/31 11:00:00
2022/09/27 14:59:59,0,2022/09/24 23:59:59,50,10049,1060,1768,2022/09/21 19:00:00,0,10025,bgm_M265_Top,60,111201,bgm_M265,2022/09/09 15:00:00,505033,2022/09/17 12:00:00
2022/10/19 14:59:59,0,2022/10/14 23:59:59,50,10050,1060,1768,2022/10/11 19:00:00,0,0,bgm_M413,60,114101,bgm_M413,2022/09/23 15:00:00,501133,2022/09/30 11:00:00
2022/10/26 14:59:59,0,2022/10/23 23:59:59,50,10051,1060,1800,2022/10/20 19:00:00,0,10027,bgm_M273,60,100501,bgm_M273,2022/10/11 15:00:00,500836,2022/10/16 12:00:00
2022/11/19 14:59:59,0,2022/11/14 23:59:59,50,10052,1060,1768,2022/11/11 19:00:00,0,0,bgm_M421,60,114201,bgm_M421,2022/10/25 15:00:00,500016,2022/10/31 11:00:00
2022/11/25 14:59:59,0,2022/11/21 23:59:59,50,10053,1060,1768,2022/11/17 19:00:00,0,10017,bgm_M228,60,109701,bgm_M228,2022/11/04 15:00:00,500175,2022/11/10 11:00:00
2022/12/19 14:59:59,0,2022/12/14 23:59:59,50,10054,1060,1768,2022/12/11 19:00:00,0,0,bgm_M426,60,114401,bgm_M426,2022/11/25 15:00:00,501171,2022/11/30 11:00:00
