hp_recovery_rate,resist_status_id,accuracy,hp,level,main_skill_lv_8,ex_skill_lv_2,atk,ex_skill_lv_3,main_skill_lv_5,resist_variation_id,ex_skill_lv_5,ex_skill_lv_1,life_steal,magic_def,wave_energy_recovery,physical_critical,main_skill_lv_6,virtual_hp,main_skill_lv_9,main_skill_lv_3,energy_recovery_rate,physical_penetrate,magic_str,main_skill_lv_7,promotion_level,main_skill_lv_2,enemy_id,ex_skill_lv_4,def,magic_penetrate,dodge,rarity,unit_id,main_skill_lv_4,wave_hp_recovery,main_skill_lv_1,magic_critical,energy_reduce_rate,name,main_skill_lv_10,union_burst_level,unique_equipment_flag_1,break_durability
0,200000001,0,175,10,0,0,33,0,0,0,0,0,0,3,0,10,0,0,0,10,30,0,0,0,1,10,100000001,0,9,0,1,1,202100,10,0,10,10,0,发光蘑菇,0,10,0,0
0,200000003,0,230,10,0,0,14,0,0,0,0,0,0,10,0,10,0,0,0,10,30,0,0,0,1,10,100000002,0,20,0,1,1,201200,10,0,10,6,0,魔像,0,10,0,0
0,200000003,0,200000,200,0,0,10000,0,0,0,0,0,0,240,0,10,0,0,0,10,30,0,0,0,1,10,100000004,0,180,0,1,1,205701,10,0,10,6,0,波尼,0,200,0,0
0,200000001,0,154,1,0,0,28,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,0,0,1,1,101010101,0,3,0,1,1,200600,1,0,1,10,0,敏捷鼠妖,0,1,0,0
0,200000006,0,316,1,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,18,0,1,1,101010102,0,3,0,1,1,200700,1,0,1,10,0,木魂,0,1,0,0
0,200000001,0,301,1,0,0,28,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,0,0,1,1,101010103,0,3,0,1,1,200900,1,0,1,10,0,树妖,0,1,0,0
0,200000001,0,355,1,0,0,38,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,0,0,1,1,101010104,0,3,0,1,1,204000,1,0,1,10,0,小型狮鹫,0,1,0,0
0,200000001,0,204,1,0,0,43,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,0,0,1,1,101010201,0,3,0,1,1,200600,1,0,1,10,0,敏捷鼠妖,0,1,0,0
0,200000006,0,356,1,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,23,0,1,1,101010202,0,3,0,1,1,200700,1,0,1,10,0,木魂,0,1,0,0
0,200000001,0,228,1,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,1,30,0,26,0,1,1,101010203,0,3,0,1,1,203000,1,0,1,10,0,啫喱怪,0,1,0,0
0,200000006,0,338,2,0,0,28,0,0,0,0,0,0,3,0,10,0,0,0,3,30,0,0,0,1,3,101010301,0,9,0,1,1,200100,3,0,3,10,0,长耳猴,0,2,0,0
0,200000001,0,464,2,0,0,43,0,0,0,0,0,0,3,0,10,0,0,0,3,30,0,0,0,1,3,101010302,0,9,0,1,1,200900,3,0,3,10,0,树妖,0,2,0,0
0,200000001,0,409,2,0,0,28,0,0,0,0,0,0,3,0,10,0,0,0,3,30,0,0,0,1,3,101010303,0,9,0,1,1,201100,3,0,3,10,0,狗头人,0,2,0,0
0,200000001,0,620,2,0,0,53,0,0,0,0,0,0,3,0,10,0,0,0,3,30,0,0,0,1,3,101010304,0,10,0,1,1,204000,3,0,3,10,0,小型狮鹫,0,2,0,0
0,200000006,0,346,2,0,0,28,0,0,0,0,0,0,3,0,10,0,0,0,4,30,0,0,0,1,4,101010401,0,9,0,1,1,200100,4,0,4,10,0,长耳猴,0,2,0,0
0,200000006,0,364,2,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,4,30,0,23,0,1,4,101010402,0,8,0,1,1,200700,4,0,4,10,0,木魂,0,2,0,0
0,200000001,0,492,2,0,0,30,0,0,0,0,0,0,3,0,10,0,0,0,4,30,0,0,0,1,4,101010403,0,9,0,1,1,200900,4,0,4,10,0,树妖,0,2,0,0
0,200000003,0,444,2,0,0,24,0,0,0,0,0,0,40,0,10,0,0,0,4,30,0,0,0,1,4,101010404,0,150,0,1,1,201200,4,0,4,10,0,魔像,0,2,0,0
0,200000001,0,337,3,0,0,34,0,0,0,0,0,0,4,0,10,0,0,0,4,30,0,0,0,1,4,101010501,0,5,0,1,1,200600,4,0,4,10,0,敏捷鼠妖,0,3,0,0
0,200000006,0,371,3,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,4,30,0,26,0,1,4,101010502,0,5,0,1,1,200700,4,0,4,10,0,木魂,0,3,0,0
0,200000001,0,428,3,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,4,30,0,29,0,1,4,101010503,0,7,0,1,1,203000,4,0,4,10,0,啫喱怪,0,3,0,0
0,200000001,0,463,3,0,0,29,0,0,0,0,0,0,4,0,10,0,0,0,4,30,0,0,0,1,4,101010504,0,5,0,1,1,201100,4,0,4,10,0,狗头人,0,3,0,0
0,200000001,0,624,3,0,0,40,0,0,0,0,0,0,4,0,10,0,0,0,0,30,0,0,0,1,0,101010505,0,6,0,1,1,204000,0,0,0,10,0,小型狮鹫,0,3,0,0
0,200000006,0,347,3,0,0,32,0,0,0,0,0,0,4,0,10,0,0,0,5,30,0,0,0,1,5,101010601,0,5,0,1,1,200100,5,0,5,10,0,长耳猴,0,3,0,0
0,200000006,0,371,3,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,5,30,0,26,0,1,5,101010602,0,4,0,1,1,200700,5,0,5,10,0,木魂,0,3,0,0
0,200000003,0,413,3,0,0,63,0,0,0,0,0,0,6,0,10,0,0,0,5,30,0,0,0,1,5,101010603,0,98,0,1,1,201200,5,0,5,10,0,魔像,0,3,0,0
0,200000001,0,392,3,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,5,30,0,45,0,1,5,101010604,0,6,0,1,1,203000,5,0,5,10,0,啫喱怪,0,3,0,0
0,200000006,0,428,3,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,5,30,0,24,0,1,5,101010605,0,7,0,1,1,203100,5,0,5,10,0,巨蜥幼崽,0,3,0,0
