end_time,value,system_id,level_id,campaign_category,lv_to,icon_image,campaign_type,beginner_id,id,lv_from,shiori_group_id,duplication_order,start_time
2020/04/24 04:59:59,3000.0,101,0,31,-1,30,1,0,1,1,0,0,2020/01/01 00:00:00
2020/04/24 04:59:59,3000.0,101,0,41,-1,40,1,0,2,1,0,0,2020/04/18 05:00:00
2020/04/30 04:59:59,3000.0,103,0,34,-1,30,1,0,3,1,0,0,2020/04/23 05:00:00
2020/04/30 04:59:59,3000.0,103,0,44,-1,40,1,0,4,1,0,0,2020/04/23 05:00:00
2020/05/06 04:59:59,3000.0,104,0,45,-1,40,1,0,5,1,0,0,2020/04/29 05:00:00
2020/05/07 04:59:59,3000.0,101,0,31,-1,30,1,0,6,1,0,0,2020/05/01 05:00:00
2020/05/07 04:59:59,3000.0,101,0,41,-1,40,1,0,7,1,0,0,2020/05/01 05:00:00
2020/05/07 04:59:59,2000.0,103,0,34,-1,30,1,0,8,1,0,0,2020/05/01 05:00:00
2020/05/07 04:59:59,2000.0,103,0,44,-1,40,1,0,9,1,0,0,2020/05/01 05:00:00
2020/05/12 04:59:59,3000.0,102,0,32,-1,30,1,0,10,1,0,0,2020/05/07 05:00:00
2020/05/12 04:59:59,3000.0,102,0,42,-1,40,1,0,11,1,0,0,2020/05/07 05:00:00
2020/05/17 04:59:59,2000.0,103,0,34,-1,30,1,0,12,1,0,0,2020/05/12 05:00:00
2020/05/17 04:59:59,2000.0,103,0,44,-1,40,1,0,13,1,0,0,2020/05/12 05:00:00
2020/05/25 04:59:59,2000.0,104,0,45,-1,40,1,0,14,1,0,0,2020/05/17 05:00:00
2020/05/26 18:59:59,2000.0,6004,0,151,-1,80,1,0,15,1,0,0,2020/05/15 11:00:00
2020/05/26 18:59:59,2000.0,6005,0,152,-1,80,1,0,16,1,0,0,2020/05/15 11:00:00
2020/05/26 18:59:59,3000.0,6005,0,132,-1,30,1,0,17,1,0,0,2020/05/21 05:00:00
2020/05/26 18:59:59,3000.0,6005,0,142,-1,40,1,0,18,1,0,0,2020/05/21 05:00:00
2020/06/02 04:59:59,2000.0,101,0,31,-1,30,1,0,19,1,0,0,2020/05/25 05:00:00
2020/06/02 04:59:59,2000.0,101,0,41,-1,40,1,0,20,1,0,0,2020/05/25 05:00:00
2020/06/08 04:59:59,2000.0,102,0,32,-1,30,1,0,21,1,0,0,2020/06/02 05:00:00
2020/06/08 04:59:59,2000.0,102,0,42,-1,40,1,0,22,1,0,0,2020/06/02 05:00:00
2020/06/16 04:59:59,2000.0,103,0,34,-1,30,1,0,23,1,0,0,2020/06/06 05:00:00
2020/06/16 04:59:59,2000.0,103,0,44,-1,40,1,0,24,1,0,0,2020/06/06 05:00:00
2020/06/27 23:59:59,2000.0,6004,0,151,-1,80,1,0,25,1,0,0,2020/06/08 11:00:00
2020/06/27 23:59:59,2000.0,6005,0,152,-1,80,1,0,26,1,0,0,2020/06/08 11:00:00
2020/06/14 04:59:49,2000.0,6004,0,131,-1,30,1,0,27,1,0,0,2020/06/08 11:00:00
2020/06/14 04:59:49,2000.0,6004,0,141,-1,40,1,0,28,1,0,0,2020/06/08 11:00:00
2020/06/14 04:59:49,2000.0,6005,0,132,-1,30,1,0,29,1,0,0,2020/06/08 11:00:00
