id,unit_id,end_time,start_time,rarity,exchange_id,pickup_gacha_id,gacha_bonus_id
1,104701,2020/05/07 12:59:59,2020/04/23 13:00:00,3,1,0,0
2,101001,2020/05/15 10:59:59,2020/05/07 13:00:00,3,2,0,0
3,104301,2020/05/15 10:59:59,2020/05/07 13:00:00,3,2,0,0
4,106301,2020/05/28 10:59:59,2020/05/15 11:00:00,3,3,0,0
5,102801,2020/06/08 10:59:59,2020/05/28 11:00:00,3,4,0,0
6,103601,2020/06/23 10:59:59,2020/06/08 11:00:00,3,5,0,0
7,101201,2020/07/06 10:59:59,2020/06/23 11:00:00,3,6,0,0
8,104401,2020/07/20 10:59:59,2020/07/06 11:00:00,3,7,0,0
9,102901,2020/08/03 10:59:59,2020/07/20 11:00:00,3,8,0,0
10,107501,2020/08/18 10:59:59,2020/08/03 11:00:00,3,9,0,0
11,107701,2020/08/30 10:59:59,2020/08/18 11:00:00,3,10,0,0
12,107801,2020/09/15 10:59:59,2020/08/30 11:00:00,3,11,0,0
13,107901,2020/09/28 08:59:59,2020/09/15 11:00:00,3,12,0,0
14,103701,2020/10/09 10:59:59,2020/09/28 09:00:00,3,13,0,0
15,104301,2020/10/16 10:59:59,2020/10/09 11:00:00,3,14,0,0
16,170101,2020/10/26 10:59:59,2020/10/16 11:00:00,3,15,0,0
17,108101,2020/11/10 10:59:59,2020/10/26 11:00:00,3,16,0,0
18,108301,2020/11/23 10:59:59,2020/11/10 11:00:00,3,17,0,0
19,107101,2020/11/30 10:59:59,2020/11/23 11:00:00,3,18,0,0
20,105601,2020/12/10 08:59:59,2020/11/30 11:00:00,3,19,0,0
21,104401,2020/12/20 10:59:59,2020/12/10 09:00:00,3,20,0,0
22,108401,2020/12/30 10:59:59,2020/12/20 11:00:00,3,21,0,0
23,170201,2021/01/08 10:59:59,2020/12/30 11:00:00,3,22,0,0
24,170101,2021/01/08 10:59:59,2020/12/30 11:00:00,3,22,0,0
25,108601,2021/01/18 08:59:59,2021/01/08 11:00:00,3,23,0,0
26,108801,2021/01/22 10:59:59,2021/01/18 09:00:00,3,24,0,0
27,107101,2021/01/22 10:59:59,2021/01/18 09:00:00,3,24,0,0
28,108801,2021/02/01 10:59:59,2021/01/22 11:00:00,3,25,0,0
29,108701,2021/02/14 10:59:59,2021/02/01 11:00:00,3,26,0,0
30,109101,2021/03/01 10:59:59,2021/02/14 11:00:00,3,27,0,0
31,106101,2021/03/15 10:59:59,2021/03/01 11:00:00,3,28,0,0
32,101401,2021/03/30 10:59:59,2021/03/15 11:00:00,3,29,0,0
33,105501,2021/04/12 10:59:59,2021/03/30 11:00:00,1,30,0,0
34,106301,2021/04/12 10:59:59,2021/03/30 11:00:00,3,30,0,0
35,101501,2021/04/12 10:59:59,2021/03/30 11:00:00,2,30,0,0
36,103601,2021/04/17 08:59:59,2021/04/12 11:00:00,3,31,0,0
37,104901,2021/04/17 08:59:59,2021/04/12 11:00:00,3,31,0,0
38,104401,2021/04/17 08:59:59,2021/04/12 11:00:00,3,31,0,0
39,100701,2021/04/17 08:59:59,2021/04/12 11:00:00,2,31,0,0
40,104601,2021/04/17 08:59:59,2021/04/12 11:00:00,2,31,0,0
41,102701,2021/04/17 08:59:59,2021/04/12 11:00:00,2,31,0,0
42,100301,2021/04/17 08:59:59,2021/04/12 11:00:00,1,31,0,0
43,103401,2021/04/17 08:59:59,2021/04/12 11:00:00,1,31,0,0
44,100101,2021/04/17 08:59:59,2021/04/12 11:00:00,1,31,0,0
45,109201,2021/05/28 08:59:59,2021/05/15 09:00:00,3,32,0,0
46,109401,2021/06/14 10:59:59,2021/06/01 11:00:00,3,33,0,0
47,109501,2021/06/21 10:59:59,2021/06/14 11:00:00,3,34,0,0
48,107101,2021/06/21 10:59:59,2021/06/14 11:00:00,3,34,0,0
49,109501,2021/06/26 10:59:59,2021/06/21 11:00:00,3,35,0,0
50,103601,2021/06/01 10:59:59,2021/05/28 09:00:00,3,36,0,0
51,102001,2021/06/01 10:59:59,2021/05/28 09:00:00,2,36,0,0
52,100401,2021/06/01 10:59:59,2021/05/28 09:00:00,1,36,0,0
53,109601,2021/07/12 10:59:59,2021/06/28 09:00:00,3,37,0,0
54,109701,2021/05/01 10:59:59,2021/04/17 09:00:00,3,38,0,0
55,104401,2021/06/28 08:59:59,2021/06/26 11:00:00,3,39,0,0
56,101001,2021/06/28 08:59:59,2021/06/26 11:00:00,3,39,0,0
57,101701,2021/06/28 08:59:59,2021/06/26 11:00:00,2,39,0,0
58,109901,2021/05/15 08:59:59,2021/05/01 11:00:00,3,40,0,0
59,110001,2021/07/23 10:59:59,2021/07/12 11:00:00,3,41,0,0
60,107501,2021/07/27 08:59:59,2021/07/23 11:00:00,3,42,0,0
61,107801,2021/07/27 08:59:59,2021/07/23 11:00:00,3,42,0,0
62,110301,2021/08/09 10:59:59,2021/07/27 09:00:00,3,43,0,0
63,110401,2021/08/19 10:59:59,2021/08/09 11:00:00,3,44,0,0
64,107701,2021/08/23 10:59:59,2021/08/19 11:00:00,3,45,0,0
65,107901,2021/08/23 10:59:59,2021/08/19 11:00:00,3,45,0,0
66,110601,2021/09/03 10:59:59,2021/08/23 11:00:00,3,46,0,0
67,104401,2021/09/06 08:59:59,2021/09/03 11:00:00,3,47,0,0
68,100601,2021/09/06 08:59:59,2021/09/03 11:00:00,2,47,0,0
69,100701,2021/09/06 08:59:59,2021/09/03 11:00:00,2,47,0,0
70,103101,2021/09/06 08:59:59,2021/09/03 11:00:00,2,47,0,0
71,102201,2021/09/06 08:59:59,2021/09/03 11:00:00,1,47,0,0
72,107001,2021/09/09 17:59:59,2021/09/06 09:00:00,3,48,0,0
73,106101,2021/09/09 17:59:59,2021/09/06 09:00:00,3,48,0,0
74,107101,2021/09/09 17:59:59,2021/09/06 09:00:00,3,48,0,0
75,110701,2021/09/17 10:59:59,2021/09/09 18:00:00,3,49,0,0
76,105701,2021/09/21 10:59:59,2021/09/17 11:00:00,3,50,0,0
77,106301,2021/09/21 10:59:59,2021/09/17 11:00:00,3,50,0,0
78,110801,2021/10/04 10:59:59,2021/09/21 11:00:00,3,51,0,0
82,111101,2021/10/14 8:59:59,2021/10/04 11:00:00,3,52,0,1001
83,108101,2021/10/19 10:59:59,2021/10/14 09:00:00,3,53,0,0
84,108301,2021/10/19 10:59:59,2021/10/14 09:00:00,3,53,0,0
85,111301,2021/11/01 10:59:59,2021/10/19 11:00:00,3,54,0,1002
86,111401,2021/11/12 10:59:59,2021/11/01 11:00:00,3,55,0,1003
87,105601,2021/11/16 10:59:59,2021/11/12 11:00:00,3,56,0,0
88,101301,2021/11/16 10:59:59,2021/11/12 11:00:00,2,56,0,0
89,102701,2021/11/16 10:59:59,2021/11/12 11:00:00,2,56,0,0
90,106501,2021/11/30 10:59:59,2021/11/16 11:00:00,3,57,0,1004
91,111501,2021/12/11 10:59:59,2021/11/30 11:00:00,3,58,0,1005
92,108401,2021/12/20 10:59:59,2021/12/11 11:00:00,3,59,0,0
93,108601,2021/12/20 10:59:59,2021/12/11 11:00:00,3,59,0,0
94,111701,2021/12/31  10:59:59,2021/12/20  11:00:00,3,60,0,1006
95,112001,2022/1/3 15:59:59,2021/12/31  11:00:00,3,61,0,1007
96,106101,2022/1/3 15:59:59,2021/12/31  11:00:00,3,61,0,0
97,107101,2022/1/3 15:59:59,2021/12/31  11:00:00,3,61,0,0
98,107001,2022/1/3 15:59:59,2021/12/31  11:00:00,3,61,0,0
99,112001,2022/1/9 10:59:59,2022/1/3  16:00:00,3,62,0,1007
100,108801,2022/1/14 10:59:59,2022/1/9  11:00:00,3,63,0,0
101,108701,2022/1/14 10:59:59,2022/1/9  11:00:00,3,63,0,0
102,111901,2022/1/28 8:59:59,2022/1/14  11:00:00,3,64,0,1008
103,112201,2022/2/24 10:59:59,2022/2/14  11:00:00,3,65,0,1009
104,109101,2022/2/14 10:59:59,2022/2/7  11:00:00,3,66,0,0
105,180401,2022/2/7 10:59:59,2022/01/28  09:00:00,3,67,0,1010
106,107001,2022/2/7 10:59:59,2022/01/28  09:00:00,3,67,0,0
107,106101,2022/2/7 10:59:59,2022/01/28  09:00:00,3,67,0,0
108,107101,2022/2/7 10:59:59,2022/01/28  09:00:00,3,67,0,0
109,110001,2022/2/28 8:59:59,2022/2/24  11:00:00,3,68,0,0
110,110301,2022/2/28 8:59:59,2022/2/24  11:00:00,3,68,0,0
111,112401,2022/3/13 10:59:59,2022/2/28  09:00:00,3,69,0,1011
112,112501,2022/3/26 10:59:59,2022/3/13  11:00:00,3,70,0,1012
113,110401,2022/3/31 10:59:59,2022/3/26  11:00:00,3,71,0,0
114,110601,2022/3/31 10:59:59,2022/3/26  11:00:00,3,71,0,0
115,111001,2022/4/10 10:59:59,2022/3/31  11:00:00,3,72,0,1013
116,109201,2022/4/25 10:59:59,2022/4/20  18:00:00,3,73,0,0
117,109401,2022/4/25 10:59:59,2022/4/20  18:00:00,3,73,0,0
118,110901,2022/4/17 10:59:59,2022/4/10  11:00:00,3,74,0,1014
119,111101,2022/4/30 10:59:59,2022/4/25  11:00:00,3,75,0,0
120,112701,2022/5/10 10:59:59,2022/4/30  11:00:00,3,76,0,1015
121,109501,2022/5/15 10:59:59,2022/5/10  11:00:00,3,77,0,0
122,109601,2022/5/15 10:59:59,2022/5/10  11:00:00,3,77,0,0
123,112801,2022/5/31 10:59:59,2022/5/15  11:00:00,3,78,0,1016
124,180501,2022/4/20 17:59:59,2022/4/17  11:00:00,3,79,0,1017
125,180401,2022/4/20 17:59:59,2022/4/17  11:00:00,3,79,0,0
126,107001,2022/4/20 17:59:59,2022/4/17  11:00:00,3,79,0,0
127,106101,2022/4/20 17:59:59,2022/4/17  11:00:00,3,79,0,0
128,107101,2022/4/20 17:59:59,2022/4/17  11:00:00,3,79,0,0
129,112901,2022/6/7 8:59:59,2022/5/31  11:00:00,3,80,0,1018
130,110001,2022/6/14 10:59:59,2022/6/7  9:00:00,3,81,0,0
131,110301,2022/6/14 10:59:59,2022/6/7  9:00:00,3,81,0,0
132,106601,2022/6/21 10:59:59,2022/6/14  11:00:00,3,82,0,1019
133,111501,2022/6/26 10:59:59,2022/6/21  11:00:00,3,83,0,0
134,180201,2022/6/29 10:59:59,2022/6/26  11:00:00,3,84,0,1020
135,180501,2022/6/29 10:59:59,2022/6/26  11:00:00,3,84,0,0
136,180401,2022/6/29 10:59:59,2022/6/26  11:00:00,3,84,0,0
137,107001,2022/6/29 10:59:59,2022/6/26  11:00:00,3,84,0,0
138,106101,2022/6/29 10:59:59,2022/6/26  11:00:00,3,84,0,0
139,107101,2022/6/29 10:59:59,2022/6/26  11:00:00,3,84,0,0
140,113101,2022/7/8 10:59:59,2022/6/29  11:00:00,3,85,0,1021
141,110401,2022/7/13 10:59:59,2022/7/8  11:00:00,3,86,0,0
142,110601,2022/7/13 10:59:59,2022/7/8  11:00:00,3,86,0,0
143,113301,2022/7/21 10:59:59,2022/7/13  11:00:00,3,87,0,1022
144,112001,2022/7/27 10:59:59,2022/7/21  11:00:00,3,88,0,0
145,111901,2022/7/27 10:59:59,2022/7/21  11:00:00,3,88,0,0
146,107501,2022/7/31 10:59:59,2022/7/27  11:00:00,3,89,0,0
147,107801,2022/7/31 10:59:59,2022/7/27  11:00:00,3,89,0,0
148,113401,2022/8/10  10:59:59,2022/7/31  11:00:00,3,90,0,1023
149,110701,2022/8/15  10:59:59,2022/8/10  11:00:00,3,91,0,0
150,110801,2022/8/15  10:59:59,2022/8/10  11:00:00,3,91,0,0
151,113601,2022/8/26  10:59:59,2022/8/15  11:00:00,3,92,0,1024
152,107701,2022/8/31  10:59:59,2022/8/26  11:00:00,3,93,0,0
153,107901,2022/8/31  10:59:59,2022/8/26  11:00:00,3,93,0,0
154,106801,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,1025
155,180201,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,0
156,180501,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,0
157,180401,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,0
158,107001,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,0
159,106101,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,0
160,107101,2022/09/03 17:59:59,2022/08/31 11:00:00,3,94,0,0
161,113701,2022/09/14 10:59:59,2022/09/03 18:00:00,3,95,0,1026
162,111101,2022/09/19 10:59:59,2022/09/14 11:00:00,3,96,0,0
163,111301,2022/09/19 10:59:59,2022/09/14 11:00:00,3,96,0,0
164,113801,2022/09/30 10:59:59,2022/09/19 11:00:00,3,97,0,1027
