param_adjust_id,damage_rank_id_5,param_adjust_interval,wave_group_id_2,id,score_coefficient_4,boss_id_2,damage_rank_id_1,score_coefficient_3,aura_effect,wave_group_id_3,score_coefficient_5,last_attack_reward_id,fix_reward_id_5,limited_mana,damage_rank_id_3,wave_group_id_1,phase,map_bg,clan_battle_id,wave_group_id_4,boss_id_1,damage_rank_id_4,score_coefficient_2,difficulty,lap_num_from,damage_rank_id_2,fix_reward_id_1,score_coefficient_1,boss_id_5,boss_id_4,wave_group_id_5,rsl_unlock_lap,fix_reward_id_3,fix_reward_id_4,boss_id_3,lap_num_to,reward_gold_coefficient,fix_reward_id_2
0,1001205,0,401010021,1,1.1,10010102,1001201,1.1,1,401010031,1.2,1001301,1001105,100000,1001203,401010011,1,710011,1001,401010041,10010101,1001204,1.0,1,1,1001202,1001101,1.0,10010105,10010104,401010051,1,1001103,1001104,10010103,1,0.03,1001102
0,1001210,0,401010021,2,1.7,10010102,1001206,1.5,2,401010031,2.0,1001303,1001110,100000,1001208,401010011,1,710011,1001,401010041,10010101,1001209,1.2,1,2,1001207,1001106,1.2,10010105,10010104,401010051,1,1001108,1001109,10010103,-1,0.06,1001107
0,1002205,0,401020021,3,1.1,10020102,1002201,1.1,1,401020031,1.2,1001301,1002105,100000,1002203,401020011,1,710021,1002,401020041,10020101,1002204,1.0,1,1,1002202,1002101,1.0,10020105,10020104,401020051,1,1002103,1002104,10020103,1,0.03,1002102
0,1002210,0,401020071,4,1.7,10020102,1002206,1.5,2,401020081,2.0,1001303,1002110,100000,1002208,401020061,1,710021,1002,401020091,10020101,1002209,1.2,1,2,1002207,1002106,1.2,10020105,10020104,401020101,1,1002108,1002109,10020103,-1,0.06,1002107
0,1003205,0,401030021,5,1.1,10030102,1003201,1.1,1,401030031,1.2,1001301,1003105,100000,1003203,401030011,1,710031,1003,401030041,10030101,1003204,1.0,1,1,1003202,1003101,1.0,10030105,10030104,401030051,1,1003103,1003104,10030103,1,0.03,1003102
0,1003210,0,401030071,6,1.7,10030102,1003206,1.5,2,401030081,2.0,1001303,1003110,100000,1003208,401030061,1,710031,1003,401030091,10030101,1003209,1.2,1,2,1003207,1003106,1.2,10030105,10030104,401030101,1,1003108,1003109,10030103,-1,0.06,1003107
0,1004205,0,401040021,7,1.1,10040102,1004201,1.1,1,401040031,1.2,1001301,1004105,100000,1004203,401040011,1,710041,1004,401040041,10040101,1004204,1.0,1,1,1004202,1004101,1.0,10040105,10040104,401040051,1,1004103,1004104,10040103,1,0.03,1004102
0,1004210,0,401040071,8,1.7,10040102,1004206,1.5,2,401040081,2.0,1001303,1004110,100000,1004208,401040061,1,710041,1004,401040091,10040101,1004209,1.2,1,2,1004207,1004106,1.2,10040105,10040104,401040101,1,1004108,1004109,10040103,-1,0.06,1004107
0,1004205,0,401040121,9,1.1,10050102,1004201,1.1,1,401040131,1.2,1001301,1004105,100000,1004203,401040111,1,710051,1005,401040141,10050101,1004204,1.0,1,1,1004202,1004101,1.0,10050105,10050104,401040151,1,1004103,1004104,10050103,1,0.03,1004102
0,1004210,0,401040171,10,1.7,10050102,1004206,1.5,2,401040181,2.0,1001303,1004110,100000,1004208,401040161,1,710051,1005,401040191,10050101,1004209,1.2,1,2,1004207,1004106,1.2,10050105,10050104,401040201,1,1004108,1004109,10050103,-1,0.06,1004107
