area_id,quest_detail_bg_position,unknown_2,enemy_image_4,limit_team_level,story_id_waveend_3,reward_image_2,unknown_1,reward_image_4,wave_bgm_sheet_id_2,position_x,reward_image_1,icon_id,story_id_waveend_2,love,quest_name,story_id_waveend_1,quest_detail_bg_id,wave_bgm_que_id_2,limit_time,wave_group_id_3,unit_exp,add_treasure_num,background_1,wave_bgm_que_id_3,end_time,enemy_image_3,clear_reward_group,stamina_start,story_id_wavestart_3,quest_id,daily_limit,reward_image_3,rank_reward_group,enemy_image_2,reward_image_5,team_exp,lv_reward_flag,wave_bgm_que_id_1,unknown_3,wave_group_id_1,wave_bgm_sheet_id_1,wave_group_id_2,wave_bgm_sheet_id_3,story_id_wavestart_2,start_time,background_3,enemy_image_5,enemy_image_1,position_y,story_id_wavestart_1,stamina,background_2
11001,0,0.0,0,0,0,101281,0.0,0,bgm_M06,-500,101011,100050,0,6,朱诺平原 1-1,0,100022,bgm_M06,90,110010013,96,0,100021,bgm_M06,2099/12/31 23:59:59,101010102,110010011,0,0,11001001,0,101581,211001000,101010103,0,8,0,bgm_M06,0.0,110010011,bgm_M06,110010012,bgm_M06,0,2015/12/17 15:00:00,100023,0,101010104,-20,0,6,100022
11001,0,0.0,101010202,0,0,101521,0.0,0,bgm_M06,-330,101251,100010,0,8,朱诺平原 1-2,0,100062,bgm_M06,90,110010023,120,0,100061,bgm_M06,2099/12/31 23:59:59,101010203,110010021,0,0,11001002,0,101551,211001000,101010203,0,8,0,bgm_M06,0.0,110010021,bgm_M06,110010022,bgm_M06,0,2015/12/17 15:00:00,100063,0,101010202,30,0,8,100062
11001,0,0.0,0,0,0,101431,0.0,0,bgm_M06,-220,101161,100010,0,8,朱诺平原 1-3,0,100068,bgm_M06,90,110010033,120,0,100067,bgm_M06,2099/12/31 23:59:59,101010303,110010031,0,0,11001003,0,101611,211001000,101010303,0,8,0,bgm_M06,0.0,110010031,bgm_M06,110010032,bgm_M06,0,2015/12/17 15:00:00,100069,0,101010304,-100,0,8,100068
11001,0,0.0,0,0,0,101371,0.0,0,bgm_M06,-135,101101,100050,0,8,朱诺平原 1-4,0,100112,bgm_M06,90,110010043,120,0,100111,bgm_M06,2099/12/31 23:59:59,101010402,110010041,0,0,11001004,0,101551,211001000,101010403,0,8,0,bgm_M06,0.0,110010041,bgm_M06,110010042,bgm_M06,0,2015/12/17 15:00:00,100113,0,101010404,30,0,8,100112
11001,0,0.0,101010505,0,0,101521,0.0,0,bgm_M06,-43,101161,100010,0,8,朱诺平原 1-5,0,100073,bgm_M06,90,110010053,120,0,100072,bgm_M06,2099/12/31 23:59:59,101010504,110010051,0,0,11001005,0,101011,211001000,101010504,0,8,0,bgm_M06,0.0,110010051,bgm_M06,110010052,bgm_M06,0,2015/12/17 15:00:00,100074,0,101010503,-75,0,8,100073
11001,0,0.0,0,0,0,101431,0.0,0,bgm_M06,100,101071,100050,0,8,朱诺平原 1-6,0,100112,bgm_M06,90,110010063,120,0,100111,bgm_M06,2099/12/31 23:59:59,101010601,110010061,0,0,11001006,0,101401,211001000,101010605,0,8,0,bgm_M06,0.0,110010061,bgm_M06,110010062,bgm_M06,0,2015/12/17 15:00:00,100113,0,101010606,-101,0,8,100112
11001,0,0.0,101010704,0,0,101251,0.0,0,bgm_M06,227,101191,100050,0,8,朱诺平原 1-7,0,100112,bgm_M06,90,110010073,120,0,100111,bgm_M06,2099/12/31 23:59:59,101010705,110010071,0,0,11001007,0,101611,211001000,101010705,0,8,0,bgm_M06,0.0,110010071,bgm_M06,110010072,bgm_M06,0,2015/12/17 15:00:00,100113,0,101010706,-48,0,8,100112
11001,0,0.0,0,0,0,101281,0.0,0,bgm_M06,188,101101,100010,0,8,朱诺平原 1-8,0,100078,bgm_M06,90,110010083,120,0,100077,bgm_M06,2099/12/31 23:59:59,101010804,110010081,0,0,11001008,0,122311,211001000,101010804,0,8,0,bgm_M06,0.0,110010081,bgm_M06,110010082,bgm_M06,0,2015/12/17 15:00:00,100079,0,101010805,70,0,8,100078
11001,0,0.0,101010904,0,0,101551,0.0,0,bgm_M06,360,101131,100020,0,8,朱诺平原 1-9,0,100015,bgm_M06,90,110010093,120,0,100014,bgm_M06,2099/12/31 23:59:59,101010902,110010091,0,0,11001009,0,122371,211001000,101010905,0,8,0,bgm_M06,0.0,110010091,bgm_M06,110010092,bgm_M06,0,2015/12/17 15:00:00,100016,0,101010906,25,0,8,100015
11001,0,0.0,0,0,9001106,101401,0.0,0,bgm_M17,455,101011,100020,0,8,朱诺平原 1-10,0,100358,bgm_M17_02,90,110010103,120,0,100357,bgm_M63,2099/12/31 23:59:59,0,110010101,0,9001105,11001010,0,102611,211001000,0,0,8,0,bgm_M17_02,0.0,110010101,bgm_M17,110010102,bgm_M63,0,2015/12/17 15:00:00,100359,0,101011001,-120,0,8,100358
11002,0,0.0,0,0,0,101191,0.0,0,bgm_M06,-470,102011,100010,0,8,帕拉斯高原 2-1,0,100032,bgm_M06,90,110020013,130,0,100031,bgm_M06,2099/12/31 23:59:59,101020106,110020011,0,0,11002001,0,101011,211001000,101020101,0,8,0,bgm_M06,0.0,110020011,bgm_M06,110020012,bgm_M06,0,2015/12/17 15:00:00,100033,0,101020105,-200,0,8,100032
11002,0,0.0,0,0,0,101251,0.0,0,bgm_M06,-300,102251,100010,0,8,帕拉斯高原 2-2,0,100032,bgm_M06,90,110020023,130,0,100031,bgm_M06,2099/12/31 23:59:59,101020206,110020021,0,0,11002002,0,101371,211001000,101020205,0,8,0,bgm_M06,0.0,110020021,bgm_M06,110020022,bgm_M06,0,2015/12/17 15:00:00,100033,0,101020202,-200,0,8,100032
11002,0,0.0,101020303,0,0,101401,0.0,0,bgm_M06,-130,102162,100010,0,8,帕拉斯高原 2-3,0,100035,bgm_M06,90,110020033,130,0,100034,bgm_M06,2099/12/31 23:59:59,101020304,110020031,0,0,11002003,0,101551,211001000,101020304,0,8,0,bgm_M06,0.0,110020031,bgm_M06,110020032,bgm_M06,0,2015/12/17 15:00:00,100036,0,101020305,-160,0,8,100035
11002,0,0.0,0,0,0,101521,0.0,0,bgm_M06,-200,102221,100030,0,8,帕拉斯高原 2-4,0,100092,bgm_M06,90,110020043,130,0,100091,bgm_M06,2099/12/31 23:59:59,101020405,110020041,0,0,11002004,0,101581,211001000,101020404,0,8,0,bgm_M06,0.0,110020041,bgm_M06,110020042,bgm_M06,0,2015/12/17 15:00:00,100093,0,101020404,-10,0,8,100092
11002,0,0.0,0,0,0,101281,0.0,0,bgm_M06,-325,102191,100030,0,8,帕拉斯高原 2-5,0,100092,bgm_M06,90,110020053,130,0,100091,bgm_M06,2099/12/31 23:59:59,101020501,110020051,0,0,11002005,0,101611,211001000,101020502,0,8,0,bgm_M06,0.0,110020051,bgm_M06,110020052,bgm_M06,0,2015/12/17 15:00:00,100093,0,101020506,75,0,8,100092
